,seller_state,customer_state,total_order,product_weight_g,product_square_cm,price,freight_value,avg_shipping_fee,shipping_fee_1000cm,shipping_fee_100g
56,RJ,RS,215,282615.0,2394127.0,34842.69,4733.75,22.017441860465116,1.9772342904114943,1.6749818657891478
57,RJ,PR,226,303409.0,2587007.0,39744.3,4433.2,19.61592920353982,1.7136405119893374,1.4611300258067492
58,PR,PE,97,185850.0,1326753.0,22008.49,4282.21,44.14649484536083,3.2275864460076593,2.3041216034436376
59,MA,SP,130,65850.0,533064.0,11545.7,4194.3,32.26384615384615,7.868285984422133,6.369476082004557
60,MG,PE,115,222192.0,1430139.0,12223.39,4136.95,35.97347826086956,2.892690850329933,1.8618807157773456
61,RJ,BA,140,197050.0,1372100.0,25971.47,4098.7,29.27642857142857,2.9871729465782373,2.0800304491245876
62,MG,PA,91,232770.0,1510806.0,12892.86,4081.61,44.85285714285715,2.7016109282065335,1.7534948661769127
63,RJ,PE,102,223414.0,1433339.0,21926.29,3948.45,38.71029411764706,2.7547216673794543,1.7673243395669027
64,PR,ES,117,247057.0,1818112.0,22754.71,3743.6,31.996581196581197,2.059059067868206,1.5152778508603277
65,SC,BA,80,293985.0,1678543.0,18911.19,3706.82,46.33525,2.2083556989603483,1.2608874602445703
66,ES,SP,114,700567.0,1923420.0,15531.37,3395.62,29.786140350877194,1.765407451310686,0.48469596769473866
67,SP,AM,109,184295.0,1354914.0,13010.17,3370.09,30.918256880733946,2.4873091576291926,1.8286388670338316
68,GO,SP,132,152344.0,1245135.0,20651.2,3332.67,25.247500000000002,2.676553144839716,2.187595179330988
69,PR,GO,87,157062.0,1259292.0,14764.49,3271.04,37.59816091954023,2.5975230526359256,2.082642523334734
70,PE,SP,105,85930.0,680368.0,23153.22,3258.44,31.032761904761905,4.789231709898173,3.7919702083090887
71,MG,MA,64,199650.0,1453454.0,8790.38,3205.31,50.08296875,2.2053054310628335,1.6054645629852242
72,MG,CE,81,201107.0,1396084.0,9953.1,3088.32,38.12740740740741,2.2121305021760866,1.5356601212289978
73,RS,PR,146,219525.0,1907749.0,18376.43,3047.01,20.869931506849316,1.597175519421056,1.388001366586949
74,PR,CE,72,168885.0,997698.0,14791.91,3014.95,41.87430555555555,3.021906428598634,1.785208869941084
75,RJ,SC,133,212542.0,1585369.0,22224.46,3009.42,22.627218045112784,1.8982457711737772,1.4159177950710917
76,BA,RJ,93,193507.0,1241617.0,35559.99,2935.87,31.568494623655912,2.3645536425483864,1.5171905925883817
77,PR,PA,56,159645.0,1050577.0,12243.13,2846.06,50.8225,2.709044648797756,1.7827429609445957
78,SC,GO,77,141963.0,1009652.0,16656.91,2745.62,35.657402597402594,2.7193726155150486,1.9340391510463992
79,RS,SC,126,178656.0,1549150.0,19596.63,2578.77,20.466428571428573,1.6646354452441663,1.443427592692101
80,SP,AC,65,132271.0,828785.0,10339.36,2554.04,39.292923076923074,3.0816677425387766,1.9309145617709096
81,RJ,GO,120,101910.0,951758.0,18333.49,2482.1,20.684166666666666,2.607910834476831,2.4355804140908646
82,PR,MT,68,192641.0,1088852.0,15660.81,2465.97,36.26426470588235,2.264743050478853,1.2800857553687948
83,MG,MT,64,201245.0,965698.0,11259.27,2412.27,37.69171875,2.497954847167541,1.1986732589629556
84,RS,BA,45,119935.0,1056848.0,9306.55,2366.86,52.59688888888889,2.2395462734470803,1.9734522866552715
85,MG,PB,56,145843.0,1158565.0,8852.69,2336.58,41.724642857142854,2.0167880093046135,1.6021200880398785
86,SC,DF,74,166854.0,1031296.0,9961.21,2329.13,31.47472972972973,2.2584495624922427,1.3959089982859267
87,DF,RJ,103,109313.0,1047390.0,10534.19,2053.99,19.94165048543689,1.9610555762418964,1.8789988381985672
88,PE,MG,72,44565.0,381564.0,10585.89,2033.42,28.241944444444446,5.329171515132455,4.562818355211489
89,MG,AL,38,130974.0,827304.0,10115.25,1997.04,52.55368421052631,2.413913144382234,1.5247606395162399
90,SC,PE,39,113115.0,614246.0,9089.0,1994.24,51.134358974358975,3.2466471088130815,1.7630199354639084
91,DF,MG,105,155413.0,1125322.0,12147.6,1976.25,18.821428571428573,1.7561640135001362,1.2716117699291565
92,RJ,ES,106,178780.0,1330270.0,15596.78,1973.94,18.622075471698114,1.4838641779488375,1.104116791587426
93,SP,AP,61,120527.0,791030.0,7980.39,1959.56,32.12393442622951,2.47722589535163,1.6258265782770664
94,PR,PB,46,68469.0,662170.0,10187.54,1951.71,42.42847826086957,2.94744552003262,2.850501686894799
95,GO,MG,97,105815.0,848143.0,13272.27,1937.01,19.96917525773196,2.2838247795477886,1.830562774653877
96,MG,MS,68,283851.0,1428286.0,10909.21,1933.63,28.43573529411765,1.353811491536009,0.6812130307802333
97,RJ,DF,107,112727.0,1072296.0,17450.6,1898.48,17.742803738317757,1.7704812850183158,1.6841395584021572
98,RJ,CE,55,73797.0,543623.0,11989.92,1889.21,34.34927272727273,3.475220879175458,2.560009214466713
99,BA,MG,53,163805.0,944543.0,29608.46,1851.58,34.935471698113204,1.960291908362033,1.1303562162327156
100,ES,RJ,69,501314.0,1364338.0,9584.25,1822.39,26.41144927536232,1.3357320546668054,0.36352266244309955
101,PR,PI,30,100178.0,406485.0,8763.9,1778.71,59.290333333333336,4.3758318265126634,1.7755495218511048
